epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.005935183260589838,0.045979101210832596,0.07704014331102371,0.002983876271173358,0.03507845848798752,0.05462487041950226
1,0.003147272625938058,0.035386085510253906,0.05610055848956108,0.0025328360497951508,0.030525296926498413,0.05032728984951973
2,0.003000969300046563,0.034341126680374146,0.054781101644039154,0.002444974845275283,0.03018057718873024,0.04944668710231781
3,0.0028426777571439743,0.0329497866332531,0.05331676825881004,0.002177773043513298,0.024670645594596863,0.04666661471128464
4,0.0027602461632341146,0.03217218071222305,0.05253804475069046,0.0023874049074947834,0.029412077739834785,0.048861078917980194
5,0.002620281418785453,0.030857205390930176,0.05118868499994278,0.002057755133137107,0.02501370571553707,0.04536248743534088
6,0.0025677408557385206,0.030234770849347115,0.05067288130521774,0.002020821673795581,0.02413971908390522,0.04495355114340782
7,0.0025319699198007584,0.02976275607943535,0.05031868442893028,0.0020988029427826405,0.026824453845620155,0.0458126924932003
8,0.0024992653634399176,0.0294649600982666,0.04999265447258949,0.002546169562265277,0.028384368866682053,0.05045958235859871
9,0.002447769045829773,0.02887113019824028,0.04947493225336075,0.0021269384305924177,0.022521518170833588,0.04611874371767044
10,0.0024063277523964643,0.028347689658403397,0.0490543358027935,0.0019293981604278088,0.020888634026050568,0.04392491653561592
11,0.002381785772740841,0.028073256835341454,0.04880354180932045,0.0019844260532408953,0.02353193238377571,0.04454689845442772
12,0.002379132667556405,0.028145065531134605,0.048776354640722275,0.0022650740575045347,0.030067618936300278,0.04759279265999794
13,0.002346765948459506,0.027522187680006027,0.04844342917203903,0.0019204365089535713,0.022693613544106483,0.04382278397679329
14,0.0023574877995997667,0.02776430919766426,0.04855396971106529,0.00206218590028584,0.026544878259301186,0.04541129618883133
15,0.0023099773097783327,0.0273142009973526,0.04806222394108772,0.0018877999391406775,0.019222598522901535,0.04344882071018219
16,0.0023148958571255207,0.027143433690071106,0.04811336472630501,0.0019454762805253267,0.021714765578508377,0.044107552617788315
17,0.0022858583834022284,0.026861952617764473,0.04781065136194229,0.0019638254307210445,0.022296682000160217,0.044315069913864136
18,0.0022846339270472527,0.0268930122256279,0.04779784381389618,0.001885545440018177,0.019789939746260643,0.043422866612672806
19,0.002260081935673952,0.026813488453626633,0.047540318220853806,0.002094789408147335,0.024410748854279518,0.045768868178129196
20,0.002272337209433317,0.026673734188079834,0.04766903817653656,0.0019276366801932454,0.023020083084702492,0.043904859572649
21,0.002269894350320101,0.026839695870876312,0.04764340817928314,0.001907683559693396,0.019549770280718803,0.043677035719156265
22,0.0022451167460530996,0.02647353895008564,0.0473826639354229,0.001916434383019805,0.019746912643313408,0.04377709701657295
23,0.002238965593278408,0.026465892791748047,0.047317709773778915,0.0019425248028710485,0.02351621724665165,0.04407408460974693
24,0.0022455721627920866,0.026446904987096786,0.04738746955990791,0.0018884589662775397,0.02050500176846981,0.04345640167593956
25,0.0022172604221850634,0.02618594653904438,0.04708779603242874,0.001900053583085537,0.023233870044350624,0.043589603155851364
26,0.0022230667527765036,0.026116061955690384,0.047149408608675,0.002004392445087433,0.024337658658623695,0.04477044194936752
27,0.002221196424216032,0.02640119381248951,0.04712957143783569,0.0018722399836406112,0.020799139514565468,0.04326938837766647
28,0.002199582988396287,0.026055259630084038,0.046899713575839996,0.0019189732847735286,0.02330591157078743,0.04380608722567558
29,0.00219702604226768,0.025923607870936394,0.046872444450855255,0.0019226474687457085,0.02424425259232521,0.043848004192113876
30,0.0022056398447602987,0.02600378543138504,0.046964239329099655,0.0018302456010133028,0.019353415817022324,0.042781371623277664
31,0.0021803134586662054,0.025704680010676384,0.0466938279569149,0.00201588636264205,0.025740599259734154,0.044898621737957
32,0.002178312512114644,0.02567303366959095,0.04667239636182785,0.0018354567000642419,0.018820393830537796,0.042842231690883636
33,0.002198969479650259,0.025873348116874695,0.0468931719660759,0.0018428246257826686,0.02055545710027218,0.04292813315987587
34,0.002183732111006975,0.025773484259843826,0.046730417758226395,0.0020306070800870657,0.022072380408644676,0.04506225883960724
35,0.0021923461463302374,0.025923416018486023,0.04682249575853348,0.0019806199707090855,0.023305634036660194,0.044504158198833466
36,0.0021786135621368885,0.02559448406100273,0.04667562246322632,0.0018091817619279027,0.019153641536831856,0.0425344780087471
37,0.0021731473971158266,0.025616761296987534,0.04661702737212181,0.0018523551989346743,0.019290929660201073,0.043038997799158096
38,0.0021671380382031202,0.025524195283651352,0.04655253142118454,0.0019587697461247444,0.022963371127843857,0.0442579910159111
39,0.002159209456294775,0.025580426678061485,0.04646729305386543,0.001820127945393324,0.02032453753054142,0.042662955820560455
40,0.0021643887739628553,0.025597283616662025,0.046522993594408035,0.0018546221544966102,0.01844138652086258,0.04306532442569733
41,0.00216897064819932,0.025518396869301796,0.046572208404541016,0.0019478038884699345,0.023532308638095856,0.044133931398391724
42,0.0021596814040094614,0.025611931458115578,0.046472370624542236,0.0018853516085073352,0.021079814061522484,0.04342063516378403
43,0.0021415543742477894,0.025358177721500397,0.04627693071961403,0.001840159296989441,0.019883733242750168,0.04289707913994789
44,0.0021736272610723972,0.02582959085702896,0.046622175723314285,0.0018537190044298768,0.019965514540672302,0.043054837733507156
45,0.0021361170802265406,0.025330031290650368,0.0462181456387043,0.0018744005355983973,0.02372121624648571,0.04329434782266617
46,0.0021641640923917294,0.025538602843880653,0.046520575881004333,0.0018557921284809709,0.020128583535552025,0.04307890683412552
